x,y,z,measured_azimuth,measured_elevation
0,0,0,-5,1
4.99,0,0,40,30
10.2,0,0,-50,0
13.3,0,0,-50,30
0,4.02,0,-5,-36
4.99,4.02,0,20,19
10.2,4.02,0,30,-4
13.3,4.02,0,47,4
0,7.79,0,-5,0
4.99,7.79,0,-44,11
10.2,7.79,0,64,26
13.3,7.79,0,90,90
0,10.91,0,-5,0
4.99,10.91,0,-51,8
10.2,10.91,0,35,4
13.3,10.91,0,40,30
0,0,5.3,60,-57
4.99,0,5.3,-42,30
10.2,0,5.3,51,22
13.3,0,5.3,54,39
0,4.02,5.3,0,45
4.99,4.02,5.3,30,35
10.2,4.02,5.3,53,25
13.3,4.02,5.3,65,12
0,7.79,5.3,-8,38
4.99,7.79,5.3,29,27
10.2,7.79,5.3,35,23
13.3,7.79,5.3,40,24
0,10.91,5.3,-15,25
4.99,10.91,5.3,20,40
10.2,10.91,5.3,33,11
13.3,10.91,5.3,33,27
